You have specified parameters: no discretization, #fea=200 selection method=MID #maxVar=10000 #maxSample=2000

Target classification variable (#1 column in the input data) has name=class 	entropy score=1.000

*** MaxRel features ***
Order 	 Fea 	 Name 	 Score
1 	 10 	 BINARY_10 	 0.026
2 	 175 	 BINARY_175 	 0.024
3 	 11 	 BINARY_11 	 0.022
4 	 28 	 BINARY_28 	 0.011
5 	 195 	 BINARY_195 	 0.010
6 	 122 	 BINARY_122 	 0.010
7 	 1 	 BINARY_1 	 0.010
8 	 57 	 BINARY_57 	 0.009
9 	 6 	 BINARY_6 	 0.009
10 	 30 	 BINARY_30 	 0.008
11 	 13 	 BINARY_13 	 0.008
12 	 19 	 BINARY_19 	 0.007
13 	 167 	 BINARY_167 	 0.006
14 	 23 	 BINARY_23 	 0.006
15 	 189 	 BINARY_189 	 0.006
16 	 97 	 BINARY_97 	 0.006
17 	 60 	 BINARY_60 	 0.006
18 	 141 	 BINARY_141 	 0.006
19 	 190 	 BINARY_190 	 0.006
20 	 51 	 BINARY_51 	 0.005
21 	 76 	 BINARY_76 	 0.005
22 	 53 	 BINARY_53 	 0.005
23 	 182 	 BINARY_182 	 0.005
24 	 105 	 BINARY_105 	 0.005
25 	 31 	 BINARY_31 	 0.005
26 	 70 	 BINARY_70 	 0.004
27 	 73 	 BINARY_73 	 0.004
28 	 125 	 BINARY_125 	 0.004
29 	 93 	 BINARY_93 	 0.004
30 	 91 	 BINARY_91 	 0.004
31 	 138 	 BINARY_138 	 0.004
32 	 150 	 BINARY_150 	 0.003
33 	 135 	 BINARY_135 	 0.003
34 	 67 	 BINARY_67 	 0.003
35 	 178 	 BINARY_178 	 0.003
36 	 174 	 BINARY_174 	 0.003
37 	 188 	 BINARY_188 	 0.003
38 	 81 	 BINARY_81 	 0.003
39 	 78 	 BINARY_78 	 0.003
40 	 142 	 BINARY_142 	 0.003
41 	 65 	 BINARY_65 	 0.003
42 	 137 	 BINARY_137 	 0.003
43 	 21 	 BINARY_21 	 0.003
44 	 152 	 BINARY_152 	 0.003
45 	 42 	 BINARY_42 	 0.003
46 	 147 	 BINARY_147 	 0.003
47 	 154 	 BINARY_154 	 0.003
48 	 110 	 BINARY_110 	 0.003
49 	 14 	 BINARY_14 	 0.003
50 	 35 	 BINARY_35 	 0.003
51 	 197 	 BINARY_197 	 0.003
52 	 75 	 BINARY_75 	 0.002
53 	 119 	 BINARY_119 	 0.002
54 	 72 	 BINARY_72 	 0.002
55 	 158 	 BINARY_158 	 0.002
56 	 133 	 BINARY_133 	 0.002
57 	 63 	 BINARY_63 	 0.002
58 	 109 	 BINARY_109 	 0.002
59 	 92 	 BINARY_92 	 0.002
60 	 169 	 BINARY_169 	 0.002
61 	 170 	 BINARY_170 	 0.002
62 	 39 	 BINARY_39 	 0.002
63 	 102 	 BINARY_102 	 0.002
64 	 58 	 BINARY_58 	 0.002
65 	 79 	 BINARY_79 	 0.002
66 	 80 	 BINARY_80 	 0.002
67 	 173 	 BINARY_173 	 0.002
68 	 32 	 BINARY_32 	 0.002
69 	 104 	 BINARY_104 	 0.002
70 	 176 	 BINARY_176 	 0.002
71 	 148 	 BINARY_148 	 0.002
72 	 186 	 BINARY_186 	 0.002
73 	 48 	 BINARY_48 	 0.002
74 	 146 	 BINARY_146 	 0.002
75 	 7 	 BINARY_7 	 0.002
76 	 171 	 BINARY_171 	 0.002
77 	 29 	 BINARY_29 	 0.002
78 	 196 	 BINARY_196 	 0.002
79 	 44 	 BINARY_44 	 0.002
80 	 111 	 BINARY_111 	 0.002
81 	 38 	 BINARY_38 	 0.002
82 	 45 	 BINARY_45 	 0.002
83 	 159 	 BINARY_159 	 0.002
84 	 85 	 BINARY_85 	 0.002
85 	 113 	 BINARY_113 	 0.001
86 	 112 	 BINARY_112 	 0.001
87 	 108 	 BINARY_108 	 0.001
88 	 153 	 BINARY_153 	 0.001
89 	 200 	 BINARY_200 	 0.001
90 	 184 	 BINARY_184 	 0.001
91 	 164 	 BINARY_164 	 0.001
92 	 191 	 BINARY_191 	 0.001
93 	 179 	 BINARY_179 	 0.001
94 	 64 	 BINARY_64 	 0.001
95 	 99 	 BINARY_99 	 0.001
96 	 5 	 BINARY_5 	 0.001
97 	 24 	 BINARY_24 	 0.001
98 	 144 	 BINARY_144 	 0.001
99 	 192 	 BINARY_192 	 0.001
100 	 151 	 BINARY_151 	 0.001
101 	 106 	 BINARY_106 	 0.001
102 	 131 	 BINARY_131 	 0.001
103 	 130 	 BINARY_130 	 0.001
104 	 83 	 BINARY_83 	 0.001
105 	 145 	 BINARY_145 	 0.001
106 	 98 	 BINARY_98 	 0.001
107 	 198 	 BINARY_198 	 0.001
108 	 8 	 BINARY_8 	 0.001
109 	 17 	 BINARY_17 	 0.001
110 	 50 	 BINARY_50 	 0.001
111 	 46 	 BINARY_46 	 0.001
112 	 156 	 BINARY_156 	 0.001
113 	 16 	 BINARY_16 	 0.001
114 	 121 	 BINARY_121 	 0.001
115 	 41 	 BINARY_41 	 0.001
116 	 134 	 BINARY_134 	 0.001
117 	 52 	 BINARY_52 	 0.001
118 	 36 	 BINARY_36 	 0.001
119 	 193 	 BINARY_193 	 0.001
120 	 103 	 BINARY_103 	 0.001
121 	 37 	 BINARY_37 	 0.001
122 	 161 	 BINARY_161 	 0.001
123 	 123 	 BINARY_123 	 0.001
124 	 160 	 BINARY_160 	 0.001
125 	 194 	 BINARY_194 	 0.001
126 	 107 	 BINARY_107 	 0.001
127 	 166 	 BINARY_166 	 0.001
128 	 143 	 BINARY_143 	 0.000
129 	 100 	 BINARY_100 	 0.000
