You have specified parameters: no discretization, #fea=147 selection method=MID #maxVar=10000 #maxSample=2000

Target classification variable (#1 column in the input data) has name=class 	entropy score=1.000

*** MaxRel features ***
Order 	 Fea 	 Name 	 Score
1 	 14 	 charge.G2 	 0.007
2 	 19 	 solventaccess.G1 	 0.005
3 	 41 	 solventaccess.Tr1331 	 0.004
4 	 26 	 normwaalsvolume.Tr1331 	 0.001
5 	 22 	 hydrophobicity_PRAM900101.Tr1221 	 0.001
6 	 34 	 charge.Tr1221 	 0.001
7 	 38 	 secondarystruct.Tr1331 	 0.001
8 	 30 	 polarity.Tr2332 	 0.001
9 	 2 	 hydrophobicity_PRAM900101.G2 	 0.001
10 	 33 	 polarizability.Tr2332 	 0.001
11 	 8 	 polarity.G2 	 0.001
12 	 24 	 hydrophobicity_PRAM900101.Tr2332 	 0.001
13 	 11 	 polarizability.G2 	 0.000
14 	 4 	 normwaalsvolume.G1 	 0.000
15 	 111 	 charge.2.residue75 	 0.000
16 	 103 	 charge.Train.residue0 	 0.000
17 	 112 	 charge.2.residue100 	 0.000
18 	 102 	 polarizability.3.residue100 	 0.000
19 	 104 	 charge.Train.residue25 	 0.000
20 	 107 	 charge.Train.residue100 	 0.000
21 	 109 	 charge.2.residue25 	 0.000
22 	 108 	 charge.2.residue0 	 0.000
23 	 110 	 charge.2.residue50 	 0.000
24 	 97 	 polarizability.2.residue100 	 0.000
25 	 105 	 charge.Train.residue50 	 0.000
26 	 106 	 charge.Train.residue75 	 0.000
27 	 101 	 polarizability.3.residue75 	 0.000
28 	 114 	 charge.3.residue25 	 0.000
29 	 87 	 polarity.3.residue100 	 0.000
30 	 85 	 polarity.3.residue50 	 0.000
31 	 88 	 polarizability.Train.residue0 	 0.000
32 	 90 	 polarizability.Train.residue50 	 0.000
33 	 86 	 polarity.3.residue75 	 0.000
34 	 92 	 polarizability.Train.residue100 	 0.000
35 	 84 	 polarity.3.residue25 	 0.000
36 	 89 	 polarizability.Train.residue25 	 0.000
37 	 100 	 polarizability.3.residue50 	 0.000
38 	 91 	 polarizability.Train.residue75 	 0.000
39 	 121 	 secondarystruct.Train.residue75 	 0.000
40 	 95 	 polarizability.2.residue50 	 0.000
41 	 98 	 polarizability.3.residue0 	 0.000
42 	 99 	 polarizability.3.residue25 	 0.000
43 	 96 	 polarizability.2.residue75 	 0.000
44 	 93 	 polarizability.2.residue0 	 0.000
45 	 94 	 polarizability.2.residue25 	 0.000
46 	 113 	 charge.3.residue0 	 0.000
47 	 82 	 polarity.2.residue100 	 0.000
48 	 139 	 solventaccess.2.residue25 	 0.000
49 	 141 	 solventaccess.2.residue75 	 0.000
50 	 134 	 solventaccess.Train.residue25 	 0.000
51 	 135 	 solventaccess.Train.residue50 	 0.000
52 	 136 	 solventaccess.Train.residue75 	 0.000
53 	 137 	 solventaccess.Train.residue100 	 0.000
54 	 138 	 solventaccess.2.residue0 	 0.000
55 	 132 	 secondarystruct.3.residue100 	 0.000
56 	 140 	 solventaccess.2.residue50 	 0.000
57 	 131 	 secondarystruct.3.residue75 	 0.000
58 	 142 	 solventaccess.2.residue100 	 0.000
59 	 143 	 solventaccess.3.residue0 	 0.000
60 	 144 	 solventaccess.3.residue25 	 0.000
61 	 145 	 solventaccess.3.residue50 	 0.000
62 	 146 	 solventaccess.3.residue75 	 0.000
63 	 133 	 solventaccess.Train.residue0 	 0.000
64 	 115 	 charge.3.residue50 	 0.000
65 	 122 	 secondarystruct.Train.residue100 	 0.000
66 	 124 	 secondarystruct.2.residue25 	 0.000
67 	 117 	 charge.3.residue100 	 0.000
68 	 118 	 secondarystruct.Train.residue0 	 0.000
69 	 119 	 secondarystruct.Train.residue25 	 0.000
70 	 120 	 secondarystruct.Train.residue50 	 0.000
71 	 74 	 polarity.Train.residue25 	 0.000
72 	 116 	 charge.3.residue75 	 0.000
73 	 123 	 secondarystruct.2.residue0 	 0.000
74 	 130 	 secondarystruct.3.residue50 	 0.000
75 	 125 	 secondarystruct.2.residue50 	 0.000
76 	 126 	 secondarystruct.2.residue75 	 0.000
77 	 127 	 secondarystruct.2.residue100 	 0.000
78 	 128 	 secondarystruct.3.residue0 	 0.000
79 	 129 	 secondarystruct.3.residue25 	 0.000
80 	 83 	 polarity.3.residue0 	 0.000
81 	 1 	 hydrophobicity_PRAM900101.G1 	 0.000
82 	 36 	 charge.Tr2332 	 0.000
83 	 37 	 secondarystruct.Tr1221 	 0.000
84 	 28 	 polarity.Tr1221 	 0.000
85 	 29 	 polarity.Tr1331 	 0.000
86 	 31 	 polarizability.Tr1221 	 0.000
87 	 32 	 polarizability.Tr1331 	 0.000
88 	 35 	 charge.Tr1331 	 0.000
89 	 25 	 normwaalsvolume.Tr1221 	 0.000
90 	 21 	 solventaccess.G3 	 0.000
91 	 39 	 secondarystruct.Tr2332 	 0.000
92 	 40 	 solventaccess.Tr1221 	 0.000
93 	 42 	 solventaccess.Tr2332 	 0.000
94 	 43 	 hydrophobicity_PRAM900101.Train.residue0 	 0.000
95 	 44 	 hydrophobicity_PRAM900101.Train.residue25 	 0.000
96 	 27 	 normwaalsvolume.Tr2332 	 0.000
97 	 46 	 hydrophobicity_PRAM900101.Train.residue75 	 0.000
98 	 23 	 hydrophobicity_PRAM900101.Tr1331 	 0.000
99 	 10 	 polarizability.G1 	 0.000
100 	 12 	 polarizability.G3 	 0.000
101 	 3 	 hydrophobicity_PRAM900101.G3 	 0.000
102 	 5 	 normwaalsvolume.G2 	 0.000
103 	 6 	 normwaalsvolume.G3 	 0.000
104 	 7 	 polarity.G1 	 0.000
105 	 9 	 polarity.G3 	 0.000
106 	 48 	 hydrophobicity_PRAM900101.2.residue0 	 0.000
107 	 20 	 solventaccess.G2 	 0.000
108 	 13 	 charge.G1 	 0.000
109 	 15 	 charge.G3 	 0.000
110 	 16 	 secondarystruct.G1 	 0.000
111 	 17 	 secondarystruct.G2 	 0.000
112 	 18 	 secondarystruct.G3 	 0.000
113 	 45 	 hydrophobicity_PRAM900101.Train.residue50 	 0.000
114 	 81 	 polarity.2.residue75 	 0.000
115 	 47 	 hydrophobicity_PRAM900101.Train.residue100 	 0.000
116 	 72 	 normwaalsvolume.3.residue100 	 0.000
117 	 73 	 polarity.Train.residue0 	 0.000
118 	 67 	 normwaalsvolume.2.residue100 	 0.000
119 	 68 	 normwaalsvolume.3.residue0 	 0.000
120 	 69 	 normwaalsvolume.3.residue25 	 0.000
121 	 70 	 normwaalsvolume.3.residue50 	 0.000
122 	 71 	 normwaalsvolume.3.residue75 	 0.000
123 	 65 	 normwaalsvolume.2.residue50 	 0.000
124 	 63 	 normwaalsvolume.2.residue0 	 0.000
125 	 75 	 polarity.Train.residue50 	 0.000
126 	 76 	 polarity.Train.residue75 	 0.000
127 	 77 	 polarity.Train.residue100 	 0.000
128 	 78 	 polarity.2.residue0 	 0.000
129 	 79 	 polarity.2.residue25 	 0.000
130 	 66 	 normwaalsvolume.2.residue75 	 0.000
131 	 80 	 polarity.2.residue50 	 0.000
132 	 64 	 normwaalsvolume.2.residue25 	 0.000
133 	 55 	 hydrophobicity_PRAM900101.3.residue50 	 0.000
134 	 56 	 hydrophobicity_PRAM900101.3.residue75 	 0.000
135 	 50 	 hydrophobicity_PRAM900101.2.residue50 	 0.000
136 	 51 	 hydrophobicity_PRAM900101.2.residue75 	 0.000
137 	 52 	 hydrophobicity_PRAM900101.2.residue100 	 0.000
138 	 53 	 hydrophobicity_PRAM900101.3.residue0 	 0.000
139 	 54 	 hydrophobicity_PRAM900101.3.residue25 	 0.000
140 	 49 	 hydrophobicity_PRAM900101.2.residue25 	 0.000
141 	 62 	 normwaalsvolume.Train.residue100 	 0.000
142 	 57 	 hydrophobicity_PRAM900101.3.residue100 	 0.000
143 	 58 	 normwaalsvolume.Train.residue0 	 0.000
144 	 59 	 normwaalsvolume.Train.residue25 	 0.000
145 	 60 	 normwaalsvolume.Train.residue50 	 0.000
146 	 61 	 normwaalsvolume.Train.residue75 	 0.000

*** mRMR features *** 
Order 	 Fea 	 Name 	 Score
1 	 14 	 charge.G2 	 0.007
2 	 26 	 normwaalsvolume.Tr1331 	 0.001
3 	 22 	 hydrophobicity_PRAM900101.Tr1221 	 0.001
4 	 34 	 charge.Tr1221 	 0.001
5 	 19 	 solventaccess.G1 	 0.002
6 	 41 	 solventaccess.Tr1331 	 0.002
7 	 33 	 polarizability.Tr2332 	 0.001
8 	 111 	 charge.2.residue75 	 0.000
9 	 103 	 charge.Train.residue0 	 0.000
10 	 112 	 charge.2.residue100 	 0.000
11 	 102 	 polarizability.3.residue100 	 0.000
12 	 38 	 secondarystruct.Tr1331 	 0.000
13 	 30 	 polarity.Tr2332 	 0.000
14 	 104 	 charge.Train.residue25 	 0.000
15 	 107 	 charge.Train.residue100 	 0.000
16 	 109 	 charge.2.residue25 	 0.000
17 	 108 	 charge.2.residue0 	 0.000
18 	 110 	 charge.2.residue50 	 0.000
19 	 97 	 polarizability.2.residue100 	 0.000
20 	 105 	 charge.Train.residue50 	 0.000
21 	 2 	 hydrophobicity_PRAM900101.G2 	 0.000
22 	 106 	 charge.Train.residue75 	 0.000
23 	 101 	 polarizability.3.residue75 	 0.000
24 	 114 	 charge.3.residue25 	 0.000
25 	 87 	 polarity.3.residue100 	 0.000
26 	 85 	 polarity.3.residue50 	 0.000
27 	 88 	 polarizability.Train.residue0 	 0.000
28 	 90 	 polarizability.Train.residue50 	 0.000
29 	 86 	 polarity.3.residue75 	 0.000
30 	 92 	 polarizability.Train.residue100 	 0.000
31 	 84 	 polarity.3.residue25 	 0.000
32 	 89 	 polarizability.Train.residue25 	 0.000
33 	 100 	 polarizability.3.residue50 	 0.000
