You have specified parameters: no discretization, #fea=400 selection method=MID #maxVar=10000 #maxSample=2000

Target classification variable (#1 column in the input data) has name=class 	entropy score=1.000

*** MaxRel features ***
Order 	 Fea 	 Name 	 Score
1 	 270 	 QL 	 0.000
2 	 271 	 QM 	 0.000
3 	 267 	 QH 	 0.000
4 	 268 	 QI 	 0.000
5 	 269 	 QK 	 0.000
6 	 265 	 QF 	 0.000
7 	 263 	 QD 	 0.000
8 	 272 	 QN 	 0.000
9 	 273 	 QP 	 0.000
10 	 274 	 QQ 	 0.000
11 	 266 	 QG 	 0.000
12 	 276 	 QS 	 0.000
13 	 264 	 QE 	 0.000
14 	 257 	 PT 	 0.000
15 	 258 	 PV 	 0.000
16 	 254 	 PQ 	 0.000
17 	 255 	 PR 	 0.000
18 	 256 	 PS 	 0.000
19 	 277 	 QT 	 0.000
20 	 262 	 QC 	 0.000
21 	 259 	 PW 	 0.000
22 	 260 	 PY 	 0.000
23 	 261 	 QA 	 0.000
24 	 275 	 QR 	 0.000
25 	 252 	 PN 	 0.000
26 	 295 	 RR 	 0.000
27 	 296 	 RS 	 0.000
28 	 292 	 RN 	 0.000
29 	 293 	 RP 	 0.000
30 	 294 	 RQ 	 0.000
31 	 290 	 RL 	 0.000
32 	 288 	 RI 	 0.000
33 	 297 	 RT 	 0.000
34 	 298 	 RV 	 0.000
35 	 299 	 RW 	 0.000
36 	 291 	 RM 	 0.000
37 	 251 	 PM 	 0.000
38 	 289 	 RK 	 0.000
39 	 282 	 RC 	 0.000
40 	 283 	 RD 	 0.000
41 	 279 	 QW 	 0.000
42 	 280 	 QY 	 0.000
43 	 281 	 RA 	 0.000
44 	 278 	 QV 	 0.000
45 	 287 	 RH 	 0.000
46 	 284 	 RE 	 0.000
47 	 285 	 RF 	 0.000
48 	 286 	 RG 	 0.000
49 	 253 	 PP 	 0.000
50 	 301 	 SA 	 0.000
51 	 220 	 MY 	 0.000
52 	 221 	  	 0.000
53 	 217 	 MT 	 0.000
54 	 218 	 MV 	 0.000
55 	 219 	 MW 	 0.000
56 	 215 	 MR 	 0.000
57 	 213 	 MP 	 0.000
58 	 222 	 NC 	 0.000
59 	 223 	 ND 	 0.000
60 	 224 	 NE 	 0.000
61 	 216 	 MS 	 0.000
62 	 226 	 NG 	 0.000
63 	 214 	 MQ 	 0.000
64 	 207 	 MH 	 0.000
65 	 208 	 MI 	 0.000
66 	 204 	 ME 	 0.000
67 	 205 	 MF 	 0.000
68 	 206 	 MG 	 0.000
69 	 227 	 NH 	 0.000
70 	 212 	 MN 	 0.000
71 	 209 	 MK 	 0.000
72 	 210 	 ML 	 0.000
73 	 211 	 MM 	 0.000
74 	 225 	 NF 	 0.000
75 	 302 	 SC 	 0.000
76 	 245 	 PF 	 0.000
77 	 246 	 PG 	 0.000
78 	 242 	 PC 	 0.000
79 	 243 	 PD 	 0.000
80 	 244 	 PE 	 0.000
81 	 240 	 NY 	 0.000
82 	 238 	 NV 	 0.000
83 	 247 	 PH 	 0.000
84 	 248 	 PI 	 0.000
85 	 249 	 PK 	 0.000
86 	 241 	 PA 	 0.000
87 	 250 	 PL 	 0.000
88 	 239 	 NW 	 0.000
89 	 232 	 NN 	 0.000
90 	 233 	 NP 	 0.000
91 	 229 	 NK 	 0.000
92 	 230 	 NL 	 0.000
93 	 231 	 NM 	 0.000
94 	 228 	 NI 	 0.000
95 	 237 	 NT 	 0.000
96 	 234 	 NQ 	 0.000
97 	 235 	 NR 	 0.000
98 	 236 	 NS 	 0.000
99 	 300 	 RY 	 0.000
100 	 202 	 MC 	 0.000
101 	 370 	 WL 	 0.000
102 	 371 	 WM 	 0.000
103 	 367 	 WH 	 0.000
104 	 368 	 WI 	 0.000
105 	 369 	 WK 	 0.000
106 	 365 	 WF 	 0.000
107 	 363 	 WD 	 0.000
108 	 372 	 WN 	 0.000
109 	 373 	 WP 	 0.000
110 	 374 	 WQ 	 0.000
111 	 366 	 WG 	 0.000
112 	 376 	 WS 	 0.000
113 	 364 	 WE 	 0.000
114 	 357 	 VT 	 0.000
115 	 358 	 VV 	 0.000
116 	 354 	 VQ 	 0.000
117 	 355 	 VR 	 0.000
118 	 356 	 VS 	 0.000
119 	 377 	 WT 	 0.000
120 	 362 	 WC 	 0.000
121 	 359 	 VW 	 0.000
122 	 360 	 VY 	 0.000
123 	 361 	 WA 	 0.000
124 	 375 	 WR 	 0.000
125 	 352 	 VN 	 0.000
126 	 395 	 YR 	 0.000
127 	 396 	 YS 	 0.000
128 	 392 	 YN 	 0.000
129 	 393 	 YP 	 0.000
130 	 394 	 YQ 	 0.000
131 	 390 	 YL 	 0.000
132 	 388 	 YI 	 0.000
133 	 397 	 YT 	 0.000
134 	 398 	 YV 	 0.000
135 	 399 	 YW 	 0.000
136 	 391 	 YM 	 0.000
137 	 351 	 VM 	 0.000
138 	 389 	 YK 	 0.000
139 	 382 	 YC 	 0.000
140 	 383 	 YD 	 0.000
141 	 379 	 WW 	 0.000
142 	 380 	 WY 	 0.000
143 	 381 	 YA 	 0.000
144 	 378 	 WV 	 0.000
145 	 387 	 YH 	 0.000
146 	 384 	 YE 	 0.000
147 	 385 	 YF 	 0.000
148 	 386 	 YG 	 0.000
149 	 353 	 VP 	 0.000
150 	 200 	 LY 	 0.000
151 	 320 	 SY 	 0.000
152 	 321 	 TA 	 0.000
153 	 317 	 ST 	 0.000
154 	 318 	 SV 	 0.000
155 	 319 	 SW 	 0.000
156 	 315 	 SR 	 0.000
157 	 313 	 SP 	 0.000
158 	 322 	 TC 	 0.000
159 	 323 	 TD 	 0.000
160 	 324 	 TE 	 0.000
161 	 316 	 SS 	 0.000
162 	 326 	 TG 	 0.000
163 	 314 	 SQ 	 0.000
164 	 307 	 SH 	 0.000
165 	 308 	 SI 	 0.000
166 	 304 	 SE 	 0.000
167 	 305 	 SF 	 0.000
168 	 306 	 SG 	 0.000
169 	 327 	 TH 	 0.000
170 	 312 	 SN 	 0.000
171 	 309 	 SK 	 0.000
172 	 310 	 SL 	 0.000
173 	 311 	 SM 	 0.000
174 	 325 	 TF 	 0.000
175 	 303 	 SD 	 0.000
176 	 345 	 VF 	 0.000
177 	 346 	 VG 	 0.000
178 	 342 	 VC 	 0.000
179 	 343 	 VD 	 0.000
180 	 344 	 VE 	 0.000
181 	 340 	 TY 	 0.000
182 	 338 	 TV 	 0.000
183 	 347 	 VH 	 0.000
184 	 348 	 VI 	 0.000
185 	 349 	 VK 	 0.000
186 	 341 	 VA 	 0.000
187 	 350 	 VL 	 0.000
188 	 339 	 TW 	 0.000
189 	 332 	 TN 	 0.000
190 	 333 	 TP 	 0.000
191 	 329 	 TK 	 0.000
192 	 330 	 TL 	 0.000
193 	 331 	 TM 	 0.000
194 	 328 	 TI 	 0.000
195 	 337 	 TT 	 0.000
196 	 334 	 TQ 	 0.000
197 	 335 	 TR 	 0.000
198 	 336 	 TS 	 0.000
199 	 203 	 MD 	 0.000
200 	 1 	 AA 	 0.000
201 	 201 	 MA 	 0.000
202 	 69 	 EK 	 0.000
203 	 70 	 EL 	 0.000
204 	 66 	 EG 	 0.000
205 	 67 	 EH 	 0.000
206 	 68 	 EI 	 0.000
207 	 64 	 EE 	 0.000
208 	 62 	 EC 	 0.000
209 	 71 	 EM 	 0.000
210 	 72 	 EN 	 0.000
211 	 73 	 EP 	 0.000
212 	 65 	 EF 	 0.000
213 	 75 	 ER 	 0.000
214 	 63 	 ED 	 0.000
215 	 56 	 DS 	 0.000
216 	 57 	 DT 	 0.000
217 	 53 	 DP 	 0.000
218 	 54 	 DQ 	 0.000
219 	 55 	 DR 	 0.000
220 	 76 	 ES 	 0.000
221 	 61 	 EA 	 0.000
222 	 58 	 DV 	 0.000
223 	 59 	 DW 	 0.000
224 	 60 	 DY 	 0.000
225 	 74 	 EQ 	 0.000
226 	 51 	 DM 	 0.000
227 	 94 	 FQ 	 0.000
228 	 95 	 FR 	 0.000
229 	 91 	 FM 	 0.000
230 	 92 	 FN 	 0.000
231 	 93 	 FP 	 0.000
232 	 89 	 FK 	 0.000
233 	 87 	 FH 	 0.000
234 	 96 	 FS 	 0.000
235 	 97 	 FT 	 0.000
236 	 98 	 FV 	 0.000
237 	 90 	 FL 	 0.000
238 	 50 	 DL 	 0.000
239 	 88 	 FI 	 0.000
240 	 81 	 FA 	 0.000
241 	 82 	 FC 	 0.000
242 	 78 	 EV 	 0.000
243 	 79 	 EW 	 0.000
244 	 80 	 EY 	 0.000
245 	 77 	 ET 	 0.000
246 	 86 	 FG 	 0.000
247 	 83 	 FD 	 0.000
248 	 84 	 FE 	 0.000
249 	 85 	 FF 	 0.000
250 	 52 	 DN 	 0.000
251 	 100 	 FY 	 0.000
252 	 19 	 AW 	 0.000
253 	 20 	 AY 	 0.000
254 	 16 	 AS 	 0.000
255 	 17 	 AT 	 0.000
256 	 18 	 AV 	 0.000
257 	 14 	 AQ 	 0.000
258 	 12 	 AN 	 0.000
259 	 21 	 CA 	 0.000
260 	 22 	 CC 	 0.000
261 	 23 	 CD 	 0.000
262 	 15 	 AR 	 0.000
263 	 25 	 CF 	 0.000
264 	 13 	 AP 	 0.000
265 	 6 	 AG 	 0.000
266 	 7 	 AH 	 0.000
267 	 3 	 AD 	 0.000
268 	 4 	 AE 	 0.000
269 	 5 	 AF 	 0.000
270 	 26 	 CG 	 0.000
271 	 11 	 AM 	 0.000
272 	 8 	 AI 	 0.000
273 	 9 	 AK 	 0.000
274 	 10 	 AL 	 0.000
275 	 24 	 CE 	 0.000
276 	 101 	 GA 	 0.000
277 	 44 	 DE 	 0.000
278 	 45 	 DF 	 0.000
279 	 41 	 DA 	 0.000
280 	 42 	 DC 	 0.000
281 	 43 	 DD 	 0.000
282 	 39 	 CW 	 0.000
283 	 37 	 CT 	 0.000
284 	 46 	 DG 	 0.000
285 	 47 	 DH 	 0.000
286 	 48 	 DI 	 0.000
287 	 40 	 CY 	 0.000
288 	 49 	 DK 	 0.000
289 	 38 	 CV 	 0.000
290 	 31 	 CM 	 0.000
291 	 32 	 CN 	 0.000
292 	 28 	 CI 	 0.000
293 	 29 	 CK 	 0.000
294 	 30 	 CL 	 0.000
295 	 27 	 CH 	 0.000
296 	 36 	 CS 	 0.000
297 	 33 	 CP 	 0.000
298 	 34 	 CQ 	 0.000
299 	 35 	 CR 	 0.000
300 	 99 	 FW 	 0.000
301 	 2 	 AC 	 0.000
302 	 169 	 KK 	 0.000
303 	 170 	 KL 	 0.000
304 	 166 	 KG 	 0.000
305 	 167 	 KH 	 0.000
306 	 168 	 KI 	 0.000
307 	 164 	 KE 	 0.000
308 	 162 	 KC 	 0.000
309 	 171 	 KM 	 0.000
310 	 172 	 KN 	 0.000
311 	 173 	 KP 	 0.000
312 	 165 	 KF 	 0.000
313 	 175 	 KR 	 0.000
314 	 163 	 KD 	 0.000
315 	 156 	 IS 	 0.000
316 	 157 	 IT 	 0.000
317 	 153 	 IP 	 0.000
318 	 154 	 IQ 	 0.000
319 	 155 	 IR 	 0.000
320 	 176 	 KS 	 0.000
321 	 161 	 KA 	 0.000
322 	 158 	 IV 	 0.000
323 	 159 	 IW 	 0.000
324 	 160 	 IY 	 0.000
325 	 174 	 KQ 	 0.000
326 	 151 	 IM 	 0.000
327 	 194 	 LQ 	 0.000
328 	 195 	 LR 	 0.000
329 	 191 	 LM 	 0.000
330 	 192 	 LN 	 0.000
331 	 193 	 LP 	 0.000
332 	 189 	 LK 	 0.000
333 	 187 	 LH 	 0.000
334 	 196 	 LS 	 0.000
335 	 197 	 LT 	 0.000
336 	 198 	 LV 	 0.000
337 	 190 	 LL 	 0.000
338 	 150 	 IL 	 0.000
339 	 188 	 LI 	 0.000
340 	 181 	 LA 	 0.000
341 	 182 	 LC 	 0.000
342 	 178 	 KV 	 0.000
343 	 179 	 KW 	 0.000
344 	 180 	 KY 	 0.000
345 	 177 	 KT 	 0.000
346 	 186 	 LG 	 0.000
347 	 183 	 LD 	 0.000
348 	 184 	 LE 	 0.000
349 	 185 	 LF 	 0.000
350 	 152 	 IN 	 0.000
351 	 199 	 LW 	 0.000
352 	 119 	 GW 	 0.000
353 	 120 	 GY 	 0.000
354 	 116 	 GS 	 0.000
355 	 11
